,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53,cell_type,disease,sample
S_1907_004614_CCD-IC-A,3.9570569536725437,0.9309526244012739,-1.4045857622645128,1.5277080209795728,1.5240465503203469,-6.724810483672811,-2.7672491896129747,-7.78518339835048,0.3027969926470745,2.398354030044666,-0.8473883905123225,-0.704425532119456,-1.126525702664472,-6.662777475944902,CCD-IC-A,Type 1 Diabetes,S_1907_004614
S_1907_004802_CCD-IC-A,3.83191642564317,1.1329351735188549,-2.2567094546920146,2.461918382478973,1.4573618382495146,-6.965822395009848,-2.9162514887827635,-8.154142309202516,1.2484863067287044,2.5897651795915273,-1.0799919125587414,-0.5245158970587456,-1.0691194915866316,-6.169209577725665,CCD-IC-A,Lean Control,S_1907_004802
S_1907_004896_CCD-IC-A,4.6858944966956875,-0.9219271896412237,-3.7999521559819054,4.673989554093656,1.4607814007035578,-6.787068324148707,-2.409839484991152,-6.567434461538612,1.2468478897414428,2.3533764903763403,-2.7129121738978013,-0.365228908796996,-1.0494950878231128,-7.649298750303814,CCD-IC-A,Type 1 Diabetes,S_1907_004896
S_1907_005225_CCD-IC-A,4.73979570390373,-1.785890738707564,-3.765463334636136,5.2980353090376235,0.996428065556972,-5.5048033525096525,-2.189600510913782,-7.0477745659232545,2.960612920013342,1.9795287117859899,-2.946650776800746,-0.3653446337234888,-0.7826066700874064,-8.27226677887476,CCD-IC-A,Type 1 Diabetes,S_1907_005225
S_2006_004078_CCD-IC-A,3.85682017938208,0.8433342107910329,-1.8750427393413516,2.2632678384533844,1.4702728653116754,-6.845478239588562,-2.9015373294291265,-8.646185913769983,0.7548783468369773,2.5105696215760114,-0.6632562049480354,-0.7077241152545735,-0.9405585985150908,-7.3761473188245965,CCD-IC-A,Type 1 Diabetes,S_2006_004078
S_2007_002809_CCD-IC-A,3.837279341301884,0.6075843933448193,-2.1809124127835675,2.7327294450295683,1.164316591635726,-5.873575389445674,-2.4050204484237754,-7.587346471576179,1.0931789304116464,2.134383159546835,-0.8585080554038618,-0.615241649255368,-0.9518732292393034,-7.3959962400069434,CCD-IC-A,Type 1 Diabetes,S_2007_002809
S_2007_002950_CCD-IC-A,5.3074985341275775,-0.6749397781260551,-2.1771819594409956,3.8939265502940352,1.486586440592354,-5.136448090284209,-2.445638921502511,-7.109484748414014,1.078008079511383,2.4544395118403775,-2.1623588713606896,-0.6275863244511084,-1.4506114338129932,-7.778934945419696,CCD-IC-A,Type 1 Diabetes,S_2007_002950
S_2007_002997_CCD-IC-A,4.99521324654876,0.7281710329497051,-2.0371779168135107,3.6209938014898917,0.4203700942187356,-6.759621590680836,-1.8631464182710125,-5.724959208497732,2.5417593294129954,1.5361573951966867,-2.5716011033378123,0.09110406453928535,-0.6326562301568581,-7.907234162242844,CCD-IC-A,Lean Control,S_2007_002997
S_2007_003044_CCD-IC-A,4.404075224066834,0.37461333819860976,-1.7988207971815162,2.840812327337866,0.8813126757013502,-6.20502888915652,-2.404089958505106,-7.728719329926885,0.7373867916593194,2.054574051295224,-1.5801459611982505,-0.4556814162269205,-1.0888372215684574,-6.511911731636659,CCD-IC-A,Type 1 Diabetes,S_2007_003044
S_2007_003091_CCD-IC-A,3.9831653672830813,0.5102643419963289,-1.8856337721041032,2.021281939139504,1.273176031447595,-5.988328949837483,-2.287629385307386,-8.07824922796766,0.8843711478284925,2.2517778447143804,-1.1068556615458838,-0.47237504062936314,-1.2314051052947976,-6.586139508070962,CCD-IC-A,Type 1 Diabetes,S_2007_003091
S_2007_003138_CCD-IC-A,3.7837220241677363,1.6357105411298258,-1.7541833040265884,1.819163862404212,1.4932655385189058,-7.2851635470401215,-2.6967571336960656,-7.943306569228109,0.2890993977550042,2.494415146513554,-0.3461339292021011,-0.7579997045520592,-1.146865858990814,-6.692799537349564,CCD-IC-A,Type 1 Diabetes,S_2007_003138
S_2007_003793_CCD-IC-A,3.964941129104411,0.7109001932650973,-1.8109455069296996,2.28843262971059,1.4447132273298793,-6.326972397254213,-2.9458432198653464,-8.07529436216328,0.4906546619324621,2.6484527556899304,-0.7030365489214022,-0.6822185980883092,-1.1293811418532318,-7.7364925804811016,CCD-IC-A,Type 1 Diabetes,S_2007_003793
