Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Positive Regulation Of Gastrulation (GO:2000543),1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,RACK1,EC-GC
GO_Biological_Process_2023,"Synaptic Transmission, Dopaminergic (GO:0001963)",1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,CRHBP,EC-GC
GO_Biological_Process_2023,Positive Regulation Of Membrane Depolarization (GO:1904181),1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,RACK1,EC-GC
GO_Biological_Process_2023,Vascular Associated Smooth Muscle Cell Development (GO:0097084),1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,RAMP2,EC-GC
GO_Biological_Process_2023,Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303),1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,GSTP1,EC-GC
GO_Biological_Process_2023,Intracellular Sequestering Of Iron Ion (GO:0006880),1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,FTH1,EC-GC
GO_Biological_Process_2023,Calcitonin Family Receptor Signaling Pathway (GO:0097646),1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,RAMP2,EC-GC
GO_Biological_Process_2023,Response To Cocaine (GO:0042220),1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,CRHBP,EC-GC
GO_Biological_Process_2023,Negative Regulation Of Acute Inflammatory Response (GO:0002674),1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,GSTP1,EC-GC
GO_Biological_Process_2023,Ribosomal Small Subunit Export From Nucleus (GO:0000056),1/6,0.0155007440273006,0.1457796724910619,0,0,78.2078431372549,325.8817006096059,RPS15,EC-GC
GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),3/202,0.0156078799508563,0.1457796724910619,0,0,6.075992205927597,25.27600221195398,RPS4X;RACK1;RPS3,EC-GC
GO_Biological_Process_2023,Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342),1/7,0.0180611983617244,0.1457796724910619,0,0,65.16993464052288,261.5914254592524,RACK1,EC-GC
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Differentiation (GO:1902107),1/7,0.0180611983617244,0.1457796724910619,0,0,65.16993464052288,261.5914254592524,LGALS1,EC-GC
GO_Biological_Process_2023,Regulation Of Endodeoxyribonuclease Activity (GO:0032071),1/7,0.0180611983617244,0.1457796724910619,0,0,65.16993464052288,261.5914254592524,RPS3,EC-GC
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Proliferation (GO:0070664),1/7,0.0180611983617244,0.1457796724910619,0,0,65.16993464052288,261.5914254592524,GSTP1,EC-GC
GO_Biological_Process_2023,Hepoxilin Biosynthetic Process (GO:0051122),1/7,0.0180611983617244,0.1457796724910619,0,0,65.16993464052288,261.5914254592524,GSTP1,EC-GC
GO_Biological_Process_2023,Hepoxilin Metabolic Process (GO:0051121),1/7,0.0180611983617244,0.1457796724910619,0,0,65.16993464052288,261.5914254592524,GSTP1,EC-GC
GO_Biological_Process_2023,Regulation Of Leukocyte Proliferation (GO:0070663),1/7,0.0180611983617244,0.1457796724910619,0,0,65.16993464052288,261.5914254592524,GSTP1,EC-GC
GO_Biological_Process_2023,Cellular Response To Potassium Ion (GO:0035865),1/7,0.0180611983617244,0.1457796724910619,0,0,65.16993464052288,261.5914254592524,CRHBP,EC-GC
GO_Biological_Process_2023,Regulation Of Golgi To Plasma Membrane Protein Transport (GO:0042996),1/7,0.0180611983617244,0.1457796724910619,0,0,65.16993464052288,261.5914254592524,RACK1,EC-GC
